                   frame  Start Frame
    0.000 ms       misc   MIDI Event Check /sys/devices/midi/nanoKONTROL/mapmaster1/midiinmap (CHOP:midiinmap)
    0.000 ms       misc   MIDI Event Check /local/midi/template/mapmaster1/midiinmap (CHOP:midiinmap)
    0.003 ms       cook  Propagating changes to other nodes /sys/TDDialogs/CompEditor/addParameter/buttonAddParm/switch (TOP:switch)
    0.002 ms       panel  Panel Values Update /sys/TDDialogs/CompEditor/addParameter/buttonAddParm (COMP:button)
    0.001 ms       panel   Triggered COMP /sys/TDDialogs/CompEditor/addParameter/buttonAddParm (COMP:button)
    0.000 ms       cook    Propagating changes to other nodes /sys/TDDialogs/CompEditor/addParameter/buttonAddParm (COMP:button)
    0.001 ms       panel    Panel Values Update /sys/TDDialogs/CompEditor/addParameter (COMP:container)
    0.000 ms       panel     Triggered COMP /sys/TDDialogs/CompEditor/addParameter (COMP:container)
    0.000 ms       panel    Panel Values Update /sys/TDDialogs/CompEditor/addParameter/parStyleMenuButton (COMP:button)
    0.000 ms       panel     Triggered COMP /sys/TDDialogs/CompEditor/addParameter/parStyleMenuButton (COMP:button)
    0.005 ms     1 script   DAT triggered by panel(s) /sys/TDDialogs/CompEditor/addParameter/scriptAddParm (DAT:panelexec)
    6.319 sec      script    /sys/TDDialogs/CompEditor/addParameter/scriptAddParm /sys/TDDialogs/CompEditor/addParameter/scriptAddParm (DAT:panelexec)
    0.016 ms     2 cook      /sys/TDDialogs/CompEditor/addParameter/scriptAddParm (DAT:panelexec)
    0.177 ms       script      /sys/TDDialogs/CompEditor/addParameter/scriptAddParm
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/addParameter/scriptAddParm (DAT:panelexec)
    0.005 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/addParameter/nameField/text (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/addParameter/size (COMP:container)
    0.016 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.007 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.359 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.031 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.524 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.014 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.026 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.442 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.013 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.031 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.010 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.043 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.021 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.018 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.040 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.010 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.014 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.031 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.011 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.047 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.014 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.043 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.011 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.042 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.011 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.044 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
